KSHKOD,"TELNEV","TELNEV CLEAR",POP,SIZE_km2,latitude,longitude,SUBREG,SUBREGCENT,COUNTYCODE,COUNTYCENT,TOWN,REGION,UNIV
1357,"Budapest","Budapest",1740041,52509,47.506225,19.06482,3101,1,1,1,1,1,1
1513,"Debrecen","Debrecen",207594,46166,47.53441,21.61932,3903,1,9,1,1,6,1
3336,"Szeged","Szeged",170052,28100,46.25428,20.14841,3606,1,6,1,1,7,1
3045,"Miskolc","Miskolc",166823,23666,48.105625,20.790556,3501,1,5,1,1,5,1
1941,"Pécs","Pecs",156801,16277,46.07308,18.22857,3207,1,2,1,1,4,1
2558,"Gyõr","Gyor",131564,17462,47.683825,17.635675,3802,1,8,1,1,3,1
1720,"Nyíregyháza","Nyiregyhaza",117658,27454,47.959218,21.718256,4508,1,15,1,1,6,1
2668,"Kecskemét","Kecskemet",114226,32257,46.904641,19.686635,3304,1,3,1,1,7,1
1482,"Székesfehérvár","Szekesfehervar",101722,17089,47.196105,18.41039,3707,1,7,1,1,2,1
300,"Szombathely","Szombathely",79348,9750,47.228052,16.615739,4808,1,18,1,1,3,1
2785,"Szolnok","Szolnok",74341,18724,47.177305,20.19453,4604,1,16,1,1,6,1
1815,"Tatabánya","Tatabanya",70003,9142,47.586775,18.39745,4107,1,11,1,1,2,1
2047,"Kaposvár","Kaposvar",67686,11359,46.35528,17.785275,4404,1,14,1,1,4,1
3098,"Érd","Erd",65277,6054,47.411857,18.885872,4316,1,13,0,1,1,0
1176,"Veszprém","Veszprem",64024,12690,47.0923882,17.9072304,4908,1,19,1,1,2,1
1520,"Békéscsaba","Bekescsaba",63752,19393,46.682086,21.099719,3401,1,4,1,1,7,1
3205,"Zalaegerszeg","Zalaegerszeg",61849,10241,46.845333,16.846657,5005,1,20,1,1,3,1
851,"Sopron","Sopron",61390,16901,47.681419,16.593319,3805,1,8,0,1,3,1
2049,"Eger","Eger",56166,9221,47.899,20.37345,4001,1,10,1,1,5,1
3093,"Nagykanizsa","Nagykanizsa",49302,14840,46.455015,16.992835,5004,1,20,0,1,3,1
311,"Dunaújváros","Dunaujvaros",48010,5267,46.96451,18.93965,3702,1,7,0,1,2,1
831,"Hódmezõvásárhely","Hodmezovasarhely",46522,48798,46.417035,20.328865,3602,1,6,0,1,7,1
1861,"Dunakeszi","Dunakeszi",40334,3106,47.62908,19.141205,4311,1,13,0,1,1,0
1134,"Cegléd","Cegled",37778,24487,47.17012,19.79739,4302,1,13,0,1,1,0
352,"Baja","Baja",37330,17761,46.1772,18.95193,3301,1,3,0,1,7,1
2578,"Salgótarján","Salgotarjan",36467,10083,48.105135,19.80842,4205,1,12,1,1,5,1
2895,"Szigetszentmiklós","Szigetszentmiklos",34877,4565,47.348305,19.042053,4307,0,13,0,1,1,0
2493,"Vác","Vac",34810,6160,47.780305,19.131185,4309,1,13,0,1,1,1
3255,"Gödöllõ","Godollo",34172,6192,47.600471,19.357149,4304,1,13,0,1,1,1
1449,"Ózd","Ozd",33750,9165,48.21915,20.281525,3506,1,5,0,1,5,0
2276,"Szekszárd","Szekszard",33311,9628,46.34854,18.702125,4704,1,17,1,1,4,1
478,"Mosonmagyaróvár","Mosonmagyarovar",32720,8411,47.875617,17.268191,3804,1,8,0,1,3,1
523,"Gyöngyös","Gyongyos",32385,5531,47.775028,19.930019,4004,1,10,0,1,5,1
3194,"Pápa","Papa",32052,9162,47.328335,17.469605,4904,1,19,0,1,2,1
503,"Gyula","Gyula",31679,25580,46.646234,21.283954,3408,1,4,0,1,7,1
304,"Hajdúböszörmény","Hajduboszormeny",31306,37078,47.672451,21.507721,3904,1,9,0,1,6,1
2513,"Esztergom","Esztergom",30434,9995,47.800235,18.74139,4102,1,11,0,1,2,1
